gzip 1.6-5ubuntu1
handbrake 1.1.0+ds1-1ubuntu1
handbrake-cli 1.1.0+ds1-1ubuntu1
hardinfo 0.5.1+git20180227-1
hdparm 9.54+ds-1
hicolor-icon-theme 0.17-2
hostname 3.20
hplip 3.17.10+repack0-5
hplip-data 3.17.10+repack0-5
htop 2.1.0-3
humanity-icon-theme 0.6.15
hunspell-en-us 1:2017.08.24
ibverbs-providers 17.1-1ubuntu0.1
ieee-data 20180204.1
iio-sensor-proxy 2.4-2
im-config 0.34-1ubuntu1.3
imagemagick 8:6.9.7.4+dfsg-16ubuntu6.7
imagemagick-6-common 8:6.9.7.4+dfsg-16ubuntu6.7
indicator-application 12.10.1+18.04.20190308.1-0ubuntu1
indicator-application-gtk2 12.10.0.1-0ubuntu4
indicator-common 16.10.0+18.04.20180321.1-0ubuntu1
indicator-sound 12.10.2+18.04.20180420.3-0ubuntu1
indicator-sound-gtk2 12.10.0.1-0ubuntu6
info 6.5.0.dfsg.1-2
init 1.51
init-system-helpers 1.51
initramfs-tools 0.130ubuntu3.8
initramfs-tools-bin 0.130ubuntu3.8
initramfs-tools-core 0.130ubuntu3.8
inputattach 1:1.6.0-2
install-info 6.5.0.dfsg.1-2
intel-microcode 3.20190618.0ubuntu0.18.04.1
intltool-debian 0.35.0+20060710.4
iproute2 4.15.0-2ubuntu1
iptables 1.6.1-2ubuntu2
iputils-ping 3:20161105-1ubuntu3
iputils-tracepath 3:20161105-1ubuntu3
irqbalance 1.3.0-0.1ubuntu0.18.04.1
isc-dhcp-client 4.3.5-3ubuntu7.1
isc-dhcp-common 4.3.5-3ubuntu7.1
iso-codes 3.79-1
itcl3 3.4.3-2
iucode-tool 2.3.1-1
iw 4.14-0.1
java-common 0.68ubuntu1~18.04.1
javascript-common 11
jenkins 2.176.3
k9copy 3.0.3-1~deb9u1
kbd 2.0.4-2ubuntu1
kerneloops 0.12+git20140509-6ubuntu2
keyboard-configuration 1.178ubuntu2.9
keyutils 1.5.9-9.2ubuntu2
kinit 5.44.0-0ubuntu1
kio 5.44.0-0ubuntu1
klibc-utils 2.0.4-9ubuntu2
kmod 24-1ubuntu3.2
krb5-locales 1.16-2ubuntu0.1
kubectl 1.15.3-00
kwayland-data 4:5.44.0-0ubuntu1
kwayland-integration 4:5.12.4-0ubuntu1
language-pack-en 1:18.04+20190718
language-pack-en-base 1:18.04+20180712
language-pack-gnome-en 1:18.04+20190718
language-pack-gnome-en-base 1:18.04+20180712
language-selector-common 0.188.3
language-selector-gnome 0.188.3
laptop-detect 0.16
less 487-0.1
liba52-0.7.4 0.7.4-19
libaa1 1.4p5-44build2
libabiword-3.0 3.0.2-6
libaccountsservice0 0.6.45-1ubuntu1
libacl1 2.2.52-3build1
libalgorithm-diff-perl 1.19.03-1
libalgorithm-diff-xs-perl 0.04-5
libalgorithm-merge-perl 0.08-3
libapache2-mod-wsgi-py3 4.5.17-1
libapparmor1 2.12-4ubuntu5.1
libappindicator1 12.10.1+18.04.20180322.1-0ubuntu1
libappindicator3-1 12.10.1+18.04.20180322.1-0ubuntu1
libappstream-glib8 0.7.7-2
libappstream4 0.12.0-3ubuntu1
libapr1 1.6.3-2
libaprutil1 1.6.1-2
libaprutil1-dbd-sqlite3 1.6.1-2
libaprutil1-ldap 1.6.1-2
libapt-inst2.0 1.6.11
libapt-pkg-perl 0.1.33build1
libapt-pkg5.0 1.6.11
libarchive-cpio-perl 0.10-1
libarchive-zip-perl 1.60-1ubuntu0.1
libarchive13 3.2.2-3.1ubuntu0.3
libargon2-0 0~20161029-1.1
libaribb24-0 1.0.3-1
libasan4 7.4.0-1ubuntu1~18.04.1
libasn1-8-heimdal 7.5.0+dfsg-1
libasound2 1.1.3-5ubuntu0.2
libasound2-data 1.1.3-5ubuntu0.2
libasound2-plugins 1.1.1-1ubuntu1
libaspell15 0.60.7~20110707-4
libass9 1:0.14.0-1
libassuan0 2.5.1-2
libasyncns0 0.8-6
libatasmart4 0.19-4
libatk-bridge2.0-0 2.26.2-1
libatk-wrapper-java 0.33.3-20ubuntu0.1
libatk-wrapper-java-jni 0.33.3-20ubuntu0.1
libatk1.0-0 2.28.1-1
libatk1.0-data 2.28.1-1
libatkmm-1.6-1v5 2.24.2-3
libatm1 1:2.5.1-2build1
libatomic1 8.3.0-6ubuntu1~18.04.1
libatspi2.0-0 2.28.0-1
libattr1 1:2.4.47-2build1
libaudcore5 3.9-2
libaudgui5 3.9-2
libaudio2 1.9.4-6
libaudit-common 1:2.8.2-1ubuntu1
libaudit1 1:2.8.2-1ubuntu1
libaudtag3 3.9-2
libauthen-sasl-perl 2.1600-1
libavahi-client3 0.7-3.1ubuntu1.2
libavahi-common-data 0.7-3.1ubuntu1.2
libavahi-common3 0.7-3.1ubuntu1.2
libavahi-core7 0.7-3.1ubuntu1.2
libavahi-glib1 0.7-3.1ubuntu1.2
libavc1394-0 0.5.4-4build1
libavcodec57 7:3.4.6-0ubuntu0.18.04.1
libavdevice57 7:3.4.6-0ubuntu0.18.04.1
libavfilter6 7:3.4.6-0ubuntu0.18.04.1
libavformat57 7:3.4.6-0ubuntu0.18.04.1
libavresample3 7:3.4.6-0ubuntu0.18.04.1
libavutil55 7:3.4.6-0ubuntu0.18.04.1
libbasicusageenvironment1 2018.02.18-1
libbind9-160 1:9.11.3+dfsg-1ubuntu1.9
libbinutils 2.30-21ubuntu1~18.04.2
libblas3 3.7.1-4ubuntu1
libblkid1 2.31.1-0.4ubuntu3.3
libblockdev-fs2 2.16-2
